2019-04-24 19:43:20.984138
ItemName|Krafting Price| selling price|porfit?/item| reci
T5_BAG | 25912 | 35000 | 9088 | {'T5_CLOTH': '8' and 'T5_LEATHER': '8'}
T7_BAG | 124000 | 269999 | 145999 | {'T7_LEATHER': '8' and 'T7_CLOTH': '8'}
UNIQUE_CAPE_STARTERPACK_LEGENDARY | 636 | 30000 | 29364 | {'T3_CLOTH': '4' and 'T3_LEATHER': '4'}
UNIQUE_HEAD_STARTERPACK_LEGENDARY | 360 | 30000 | 29640 | {'T3_METALBAR': '8'}
UNIQUE_ARMOR_STARTERPACK_LEGENDARY | 720 | 40000 | 39280 | {'T3_METALBAR': '16'}
UNIQUE_SHOES_STARTERPACK_LEGENDARY | 360 | 40000 | 39640 | {'T3_METALBAR': '8'}
UNIQUE_ARMOR_VANITY_EASTER | 36000 | 250000 | 214000 | {'QUESTITEM_TOKEN_EVENT_EASTER_2018': '3000'}
UNIQUE_BACKPACK_VANITY_EASTER | 6218 | 100000 | 93782 | {'QUESTITEM_TOKEN_EVENT_EASTER_2018': '500' and 'T3_CAPE': '1'}
T7_ARMOR_PLATE_SET1 | 87680 | 100001 | 12321 | {'T7_METALBAR': '16'}
T4_SHOES_PLATE_SET1 | 1056 | 59988 | 58932 | {'T4_METALBAR': '8'}
T7_SHOES_PLATE_SET1 | 43840 | 53500 | 9660 | {'T7_METALBAR': '8'}
T5_HEAD_PLATE_SET2 | 13504 | 24000 | 10496 | {'T5_METALBAR': '8'}
T7_SHOES_PLATE_SET2 | 43840 | 48500 | 4660 | {'T7_METALBAR': '8'}
T4_HEAD_PLATE_SET3 | 1056 | 2200 | 1144 | {'T4_METALBAR': '8'}
T7_ARMOR_PLATE_SET3 | 87680 | 109000 | 21320 | {'T7_METALBAR': '16'}
T8_ARMOR_PLATE_SET3 | 312000 | 499000 | 187000 | {'T8_METALBAR': '16'}
T5_SHOES_PLATE_SET3 | 13504 | 15000 | 1496 | {'T5_METALBAR': '8'}
T7_SHOES_PLATE_SET3 | 43840 | 50000 | 6160 | {'T7_METALBAR': '8'}
T5_ARMOR_PLATE_HELL | 41007 | 57495 | 16488 | {'T5_ARTEFACT_ARMOR_PLATE_HELL': '1' and 'T5_METALBAR': '16'}
T5_SHOES_PLATE_HELL | 22504 | 44495 | 21991 | {'T5_ARTEFACT_SHOES_PLATE_HELL': '1' and 'T5_METALBAR': '8'}
T4_HEAD_PLATE_KEEPER | 141056 | 260500 | 119444 | {'T4_METALBAR': '8' and 'T4_ARTEFACT_HEAD_PLATE_KEEPER': '1'}
T5_HEAD_LEATHER_SET1 | 11912 | 14998 | 3086 | {'T5_LEATHER': '8'}
T4_ARMOR_LEATHER_SET1 | 2560 | 2600 | 40 | {'T4_LEATHER': '16'}
T5_ARMOR_LEATHER_SET1 | 23824 | 85000 | 61176 | {'T5_LEATHER': '16'}
T7_ARMOR_LEATHER_SET1 | 124800 | 135000 | 10200 | {'T7_LEATHER': '16'}
T4_SHOES_LEATHER_SET1 | 1280 | 55000 | 53720 | {'T4_LEATHER': '8'}
T5_SHOES_LEATHER_SET1 | 11912 | 14199 | 2287 | {'T5_LEATHER': '8'}
T5_HEAD_LEATHER_SET2 | 11912 | 14331 | 2419 | {'T5_LEATHER': '8'}
T4_ARMOR_LEATHER_SET2 | 2560 | 20000 | 17440 | {'T4_LEATHER': '16'}
T5_ARMOR_LEATHER_SET2 | 23824 | 60000 | 36176 | {'T5_LEATHER': '16'}
T4_SHOES_LEATHER_SET2 | 1280 | 1432 | 152 | {'T4_LEATHER': '8'}
T5_SHOES_LEATHER_SET2 | 11912 | 22000 | 10088 | {'T5_LEATHER': '8'}
T5_HEAD_LEATHER_SET3 | 11912 | 14997 | 3085 | {'T5_LEATHER': '8'}
T4_ARMOR_LEATHER_SET3 | 2560 | 5796 | 3236 | {'T4_LEATHER': '16'}
T5_ARMOR_LEATHER_SET3 | 23824 | 28000 | 4176 | {'T5_LEATHER': '16'}
T7_ARMOR_LEATHER_SET3 | 124800 | 130000 | 5200 | {'T7_LEATHER': '16'}
T4_SHOES_LEATHER_SET3 | 1280 | 1500 | 220 | {'T4_LEATHER': '8'}
T5_SHOES_LEATHER_SET3 | 11912 | 18000 | 6088 | {'T5_LEATHER': '8'}
T4_HEAD_LEATHER_MORGANA | 9159 | 29000 | 19841 | {'T4_ARTEFACT_HEAD_LEATHER_MORGANA': '1' and 'T4_LEATHER': '8'}
T5_HEAD_LEATHER_MORGANA | 21912 | 60000 | 38088 | {'T5_LEATHER': '8' and 'T5_ARTEFACT_HEAD_LEATHER_MORGANA': '1'}
T5_ARMOR_LEATHER_MORGANA | 25677 | 49995 | 24318 | {'T5_ARTEFACT_ARMOR_LEATHER_MORGANA': '1' and 'T5_LEATHER': '16'}
T5_HEAD_LEATHER_HELL | 21912 | 89999 | 68087 | {'T5_ARTEFACT_HEAD_LEATHER_HELL': '1' and 'T5_LEATHER': '8'}
T5_ARMOR_LEATHER_HELL | 63823 | 199999 | 136176 | {'T5_LEATHER': '16' and 'T5_ARTEFACT_ARMOR_LEATHER_HELL': '1'}
T5_SHOES_LEATHER_HELL | 36912 | 95000 | 58088 | {'T5_ARTEFACT_SHOES_LEATHER_HELL': '1' and 'T5_LEATHER': '8'}
T5_ARMOR_LEATHER_UNDEAD | 86824 | 189999 | 103175 | {'T5_ARTEFACT_ARMOR_LEATHER_UNDEAD': '1' and 'T5_LEATHER': '16'}
T6_ARMOR_LEATHER_UNDEAD | 143963 | 340000 | 196037 | {'T6_ARTEFACT_ARMOR_LEATHER_UNDEAD': '1' and 'T6_LEATHER': '16'}
T5_HEAD_CLOTH_SET1 | 14000 | 29999 | 15999 | {'T5_CLOTH': '8'}
T8_ARMOR_CLOTH_SET1 | 379984 | 950000 | 570016 | {'T8_CLOTH': '16'}
T4_SHOES_CLOTH_SET1 | 1352 | 1500 | 148 | {'T4_CLOTH': '8'}
T5_SHOES_CLOTH_SET1 | 14000 | 29999 | 15999 | {'T5_CLOTH': '8'}
T6_ARMOR_CLOTH_SET2 | 70400 | 94999 | 24599 | {'T6_CLOTH': '16'}
T4_SHOES_CLOTH_SET2 | 1352 | 2000 | 648 | {'T4_CLOTH': '8'}
T6_SHOES_CLOTH_SET2 | 35200 | 149999 | 114799 | {'T6_CLOTH': '8'}
T4_HEAD_CLOTH_SET3 | 1352 | 25000 | 23648 | {'T4_CLOTH': '8'}
T5_HEAD_CLOTH_SET3 | 14000 | 25999 | 11999 | {'T5_CLOTH': '8'}
T4_ARMOR_CLOTH_KEEPER | 14700 | 80000 | 65300 | {'T4_ARTEFACT_ARMOR_CLOTH_KEEPER': '1' and 'T4_CLOTH': '16'}
T5_HEAD_CLOTH_HELL | 30000 | 99999 | 69999 | {'T5_CLOTH': '8' and 'T5_ARTEFACT_HEAD_CLOTH_HELL': '1'}
T5_HEAD_LEATHER_ROYAL | 80796 | 120000 | 39204 | {'T5_HEAD_LEATHER_SET2': '1' and 'QUESTITEM_TOKEN_ROYAL_T5': '4'}
T5_ARMOR_LEATHER_ROYAL | 161588 | 399999 | 238411 | {'T5_ARMOR_LEATHER_SET2': '1' and 'QUESTITEM_TOKEN_ROYAL_T5': '8'}
T4_HEAD_PLATE_ROYAL | 25640 | 120000 | 94360 | {'QUESTITEM_TOKEN_ROYAL_T4': '2' and 'T4_HEAD_PLATE_SET2': '1'}
T5_HEAD_PLATE_ROYAL | 77792 | 145000 | 67208 | {'QUESTITEM_TOKEN_ROYAL_T5': '4' and 'T5_HEAD_PLATE_SET1': '1'}
T4_ARMOR_PLATE_ROYAL | 50760 | 99989 | 49229 | {'QUESTITEM_TOKEN_ROYAL_T4': '4' and 'T4_ARMOR_PLATE_SET3': '1'}
T4_SHOES_PLATE_ROYAL | 25530 | 80000 | 54470 | {'QUESTITEM_TOKEN_ROYAL_T4': '2' and 'T4_SHOES_PLATE_SET3': '1'}
T5_HEAD_GATHERER_FIBER | 14000 | 23800 | 9800 | {'T5_CLOTH': '8'}
T6_HEAD_GATHERER_FIBER | 35200 | 44799 | 9599 | {'T6_CLOTH': '8'}
T5_ARMOR_GATHERER_FIBER | 14000 | 20000 | 6000 | {'T5_CLOTH': '8'}
T6_ARMOR_GATHERER_FIBER | 35200 | 45000 | 9800 | {'T6_CLOTH': '8'}
T8_ARMOR_GATHERER_FIBER | 189992 | 500000 | 310008 | {'T8_CLOTH': '8'}
T5_SHOES_GATHERER_FIBER | 14000 | 25880 | 11880 | {'T5_CLOTH': '8'}
T6_SHOES_GATHERER_FIBER | 35200 | 46297 | 11097 | {'T6_CLOTH': '8'}
T4_BACKPACK_GATHERER_FIBER | 1316 | 2199 | 883 | {'T4_CLOTH': '4' and 'T4_LEATHER': '4'}
T5_BACKPACK_GATHERER_FIBER | 12956 | 19000 | 6044 | {'T5_CLOTH': '4' and 'T5_LEATHER': '4'}
T6_BACKPACK_GATHERER_FIBER | 32592 | 38000 | 5408 | {'T6_CLOTH': '4' and 'T6_LEATHER': '4'}
T5_HEAD_GATHERER_HIDE | 11912 | 29666 | 17754 | {'T5_LEATHER': '8'}
T5_SHOES_GATHERER_HIDE | 11912 | 26450 | 14538 | {'T5_LEATHER': '8'}
T4_BACKPACK_GATHERER_HIDE | 1316 | 2246 | 930 | {'T4_CLOTH': '4' and 'T4_LEATHER': '4'}
T5_BACKPACK_GATHERER_HIDE | 12956 | 20099 | 7143 | {'T5_CLOTH': '4' and 'T5_LEATHER': '4'}
T4_HEAD_GATHERER_ORE | 1056 | 25000 | 23944 | {'T4_METALBAR': '8'}
T5_HEAD_GATHERER_ORE | 13504 | 20000 | 6496 | {'T5_METALBAR': '8'}
T4_ARMOR_GATHERER_ORE | 1056 | 59999 | 58943 | {'T4_METALBAR': '8'}
T5_ARMOR_GATHERER_ORE | 13504 | 30000 | 16496 | {'T5_METALBAR': '8'}
T4_SHOES_GATHERER_ORE | 1056 | 6998 | 5942 | {'T4_METALBAR': '8'}
T7_SHOES_GATHERER_ORE | 43840 | 80000 | 36160 | {'T7_METALBAR': '8'}
T4_BACKPACK_GATHERER_ORE | 1316 | 8499 | 7183 | {'T4_CLOTH': '4' and 'T4_LEATHER': '4'}
T7_BACKPACK_GATHERER_ORE | 62000 | 70000 | 8000 | {'T7_LEATHER': '4' and 'T7_CLOTH': '4'}
T4_HEAD_GATHERER_ROCK | 1056 | 1300 | 244 | {'T4_METALBAR': '8'}
T5_HEAD_GATHERER_ROCK | 13504 | 40000 | 26496 | {'T5_METALBAR': '8'}
T4_ARMOR_GATHERER_ROCK | 1056 | 1300 | 244 | {'T4_METALBAR': '8'}
T5_ARMOR_GATHERER_ROCK | 13504 | 120000 | 106496 | {'T5_METALBAR': '8'}
T4_SHOES_GATHERER_ROCK | 1056 | 1299 | 243 | {'T4_METALBAR': '8'}
T5_SHOES_GATHERER_ROCK | 13504 | 40000 | 26496 | {'T5_METALBAR': '8'}
T5_BACKPACK_GATHERER_ROCK | 12956 | 50000 | 37044 | {'T5_CLOTH': '4' and 'T5_LEATHER': '4'}
T4_BACKPACK_GATHERER_WOOD | 1316 | 2100 | 784 | {'T4_CLOTH': '4' and 'T4_LEATHER': '4'}
T5_BACKPACK_GATHERER_WOOD | 12956 | 25000 | 12044 | {'T5_CLOTH': '4' and 'T5_LEATHER': '4'}
T4_SHOES_GATHERER_FISH | 1280 | 1699 | 419 | {'T4_LEATHER': '8'}
T4_BACKPACK_GATHERER_FISH | 1316 | 7100 | 5784 | {'T4_CLOTH': '4' and 'T4_LEATHER': '4'}
T5_BACKPACK_GATHERER_FISH | 12956 | 22993 | 10037 | {'T5_CLOTH': '4' and 'T5_LEATHER': '4'}
T4_FURNITUREITEM_REPAIRKIT | 2336 | 6650 | 4314 | {'T4_METALBAR': '8' and 'T4_PLANKS': '8'}
T5_FURNITUREITEM_REPAIRKIT | 27880 | 39995 | 12115 | {'T5_PLANKS': '8' and 'T5_METALBAR': '8'}
T6_FURNITUREITEM_REPAIRKIT | 60776 | 150000 | 89224 | {'T6_PLANKS': '8' and 'T6_METALBAR': '8'}
T7_FURNITUREITEM_REPAIRKIT | 99840 | 1000000 | 900160 | {'T7_METALBAR': '8' and 'T7_PLANKS': '8'}
T8_FURNITUREITEM_REPAIRKIT | 356000 | 400000 | 44000 | {'T8_PLANKS': '8' and 'T8_METALBAR': '8'}
T2_FURNITUREITEM_BED | 220 | 700 | 480 | {'T2_CLOTH': '20' and 'T2_PLANKS': '10'}
T3_FURNITUREITEM_BED | 2810 | 9897 | 7087 | {'T3_PLANKS': '10' and 'T3_CLOTH': '20'}
T4_FURNITUREITEM_BED | 4980 | 7234 | 2254 | {'T4_CLOTH': '20' and 'T4_PLANKS': '10'}
T2_FURNITUREITEM_CHEST | 180 | 7499 | 7319 | {'T2_METALBAR': '10' and 'T2_PLANKS': '20'}
T3_FURNITUREITEM_CHEST | 1830 | 4499 | 2669 | {'T3_PLANKS': '20' and 'T3_METALBAR': '10'}
T4_FURNITUREITEM_CHEST | 4520 | 17999 | 13479 | {'T4_METALBAR': '10' and 'T4_PLANKS': '20'}
T5_FURNITUREITEM_CHEST | 52820 | 90000 | 37180 | {'T5_PLANKS': '20' and 'T5_METALBAR': '10'}
T2_FURNITUREITEM_TABLE | 420 | 15000 | 14580 | {'T2_CLOTH': '30' and 'T2_PLANKS': '30'}
T3_FURNITUREITEM_TABLE | 5250 | 14500 | 9250 | {'T3_PLANKS': '30' and 'T3_CLOTH': '30'}
T4_FURNITUREITEM_TABLE | 9870 | 49299 | 39429 | {'T4_CLOTH': '30' and 'T4_PLANKS': '30'}
T5_FURNITUREITEM_TABLE | 106410 | 149000 | 42590 | {'T5_CLOTH': '30' and 'T5_PLANKS': '30'}
T6_FURNITUREITEM_TABLE | 248940 | 450000 | 201060 | {'T6_PLANKS': '30' and 'T6_CLOTH': '30'}
T7_FURNITUREITEM_TABLE | 441000 | 780000 | 339000 | {'T7_CLOTH': '30' and 'T7_PLANKS': '30'}
UNIQUE_FURNITUREITEM_EASTER_CHEST | 60000 | 150000 | 90000 | {'QUESTITEM_TOKEN_EVENT_EASTER_2018': '5000'}
T3_MOUNT_HORSE | 12560 | 80000 | 67440 | {'T3_FARM_HORSE_GROWN': '1' and 'T3_LEATHER': '20'}
T4_MOUNT_HORSE | 38190 | 54999 | 16809 | {'T4_FARM_HORSE_GROWN': '1' and 'T4_LEATHER': '20'}
T3_MOUNT_OX | 5070 | 7689 | 2619 | {'T3_PLANKS': '30' and 'T3_FARM_OX_GROWN': '1'}
T4_MOUNT_OX | 17800 | 52000 | 34200 | {'T4_FARM_OX_GROWN': '1' and 'T4_PLANKS': '30'}
T5_MOUNT_OX | 91409 | 99000 | 7591 | {'T5_FARM_OX_GROWN': '1' and 'T5_PLANKS': '30'}
T6_MOUNT_OX | 295940 | 450000 | 154060 | {'T6_PLANKS': '30' and 'T6_FARM_OX_GROWN': '1'}
T4_MOUNT_GIANTSTAG | 69200 | 400000 | 330800 | {'T4_FARM_GIANTSTAG_GROWN': '1' and 'T4_LEATHER': '20'}
T7_MOUNT_SWAMPDRAGON | 667000 | 980000 | 313000 | {'T7_FARM_SWAMPDRAGON_GROWN': '1' and 'T7_LEATHER': '20'}
T5_MOUNT_DIREBOAR_FW_LYMHURST | 659780 | 777771 | 117991 | {'T5_FARM_DIREBOAR_FW_LYMHURST_GROWN': '1' and 'T1_FACTION_FOREST_TOKEN_1': '5' and 'T5_LEATHER': '20'}
T5_MOUNT_RAM_FW_MARTLOCK | 448775 | 700000 | 251225 | {'T1_FACTION_HIGHLAND_TOKEN_1': '5' and 'T5_FARM_RAM_FW_MARTLOCK_GROWN': '1' and 'T5_LEATHER': '20'}
T5_MOUNT_SWAMPDRAGON_FW_THETFORD | 489184 | 700000 | 210816 | {'T1_FACTION_SWAMP_TOKEN_1': '5' and 'T5_FARM_SWAMPDRAGON_FW_THETFORD_GROWN': '1' and 'T5_LEATHER': '20'}
T5_MOUNT_ARMORED_HORSE_SKIN_01 | 114898 | 189500 | 74602 | {'T5_MOUNT_ARMORED_HORSE': '1'}
T6_MOUNT_ARMORED_HORSE_SKIN_01 | 190000 | 400000 | 210000 | {'T6_MOUNT_ARMORED_HORSE': '1'}
T1_FISHCHOPS | 17 | 24 | 7 | {'T1_FISH_SALTWATER_ALL_COMMON': '1'}
T1_FISHSAUCE_LEVEL1 | 699 | 850 | 151 | {'T1_FISHCHOPS': '15' and 'T1_SEAWEED': '1'}
T1_FISHSAUCE_LEVEL2 | 2097 | 2999 | 902 | {'T1_FISHCHOPS': '45' and 'T1_SEAWEED': '3'}
QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_RECRUITMENT | 35980 | 80000 | 44020 | {'QUESTITEM_TOKEN_ROYAL_T6': '2'}
QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_RECRUITMENT | 53970 | 99999 | 46029 | {'QUESTITEM_TOKEN_ROYAL_T6': '3'}
QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_RECRUITMENT | 107940 | 198000 | 90060 | {'QUESTITEM_TOKEN_ROYAL_T6': '6'}
QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_KEEPER_STONEWARS | 35980 | 100000 | 64020 | {'QUESTITEM_TOKEN_ROYAL_T6': '2'}
QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_KEEPER_STONEWARS | 71960 | 100000 | 28040 | {'QUESTITEM_TOKEN_ROYAL_T6': '4'}
QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_KEEPER_STONEWARS | 125930 | 1200000 | 1074070 | {'QUESTITEM_TOKEN_ROYAL_T6': '7'}
QUESTITEM_TOKEN_ROYAL_T4 | 16092 | 16493 | 401 | {'QUESTITEM_TOKEN_ARENA_UNRANKED': '9'}
QUESTITEM_TOKEN_ROYAL_T5 | 16092 | 17199 | 1107 | {'QUESTITEM_TOKEN_ARENA_UNRANKED': '9'}
QUESTITEM_TOKEN_ROYAL_T6 | 16092 | 17990 | 1898 | {'QUESTITEM_TOKEN_ARENA_UNRANKED': '9'}
QUESTITEM_TOKEN_ROYAL_T7 | 35980 | 75000 | 39020 | {'QUESTITEM_TOKEN_ROYAL_T6': '2'}
T6_BUTTER | 367 | 790 | 423 | {'T6_MILK': '1'}
T6_ALCOHOL | 493 | 2499 | 2006 | {'T6_POTATO': '1'}
T7_ALCOHOL | 599 | 801 | 202 | {'T7_CORN': '1'}
T4_BREAD | 483 | 1699 | 1216 | {'T3_FLOUR': '1'}
T3_FLOUR | 374 | 700 | 326 | {'T3_WHEAT': '1'}
T3_WOOD | 30 | 50 | 20 | {'T2_WOOD': '3'}
T5_WOOD | 459 | 600 | 141 | {'T4_WOOD': '9'}
